CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 0"
DESCRIPTOR	"Chart 522 Patches"
FILTER	""
CREATED		"2020-05-25T13:37:56"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	522
BEGIN_DATA
465	Z15	    0.00	   72.00	  255.00	
466	Z16	   36.00	   72.00	  255.00	
467	Z17	   72.00	   72.00	  255.00	
468	Z18	  109.00	   72.00	  255.00	
469	2A1	  145.00	   72.00	  255.00	
470	2A2	  182.00	   72.00	  255.00	
471	2A3	  218.00	   72.00	  255.00	
472	2A4	  255.00	   72.00	  255.00	
473	2A5	    0.00	  109.00	  255.00	
474	2A6	   36.00	  109.00	  255.00	
475	2A7	   72.00	  109.00	  255.00	
476	2A8	  109.00	  109.00	  255.00	
477	2A9	  145.00	  109.00	  255.00	
478	2A10	  182.00	  109.00	  255.00	
479	2A11	  218.00	  109.00	  255.00	
480	2A12	  255.00	  109.00	  255.00	
481	2A13	    0.00	  145.00	  255.00	
482	2A14	   36.00	  145.00	  255.00	
483	2A15	   72.00	  145.00	  255.00	
484	2A16	  109.00	  145.00	  255.00	
485	2A17	  145.00	  145.00	  255.00	
486	2A18	  182.00	  145.00	  255.00	
487	2B1	  218.00	  145.00	  255.00	
488	2B2	  255.00	  145.00	  255.00	
489	2B3	    0.00	  182.00	  255.00	
490	2B4	   36.00	  182.00	  255.00	
491	2B5	   72.00	  182.00	  255.00	
492	2B6	  109.00	  182.00	  255.00	
493	2B7	  145.00	  182.00	  255.00	
494	2B8	  182.00	  182.00	  255.00	
495	2B9	  218.00	  182.00	  255.00	
496	2B10	  255.00	  182.00	  255.00	
497	2B11	    0.00	  218.00	  255.00	
498	2B12	   36.00	  218.00	  255.00	
499	2B13	   72.00	  218.00	  255.00	
500	2B14	  109.00	  218.00	  255.00	
501	2B15	  145.00	  218.00	  255.00	
502	2B16	  182.00	  218.00	  255.00	
503	2B17	  218.00	  218.00	  255.00	
504	2B18	  255.00	  218.00	  255.00	
505	2C1	    0.00	  255.00	  255.00	
506	2C2	   36.00	  255.00	  255.00	
507	2C3	   72.00	  255.00	  255.00	
508	2C4	  109.00	  255.00	  255.00	
509	2C5	  145.00	  255.00	  255.00	
510	2C6	  182.00	  255.00	  255.00	
511	2C7	  218.00	  255.00	  255.00	
512	2C8	  255.00	  255.00	  255.00	
513	2C9	   51.00	   51.00	   51.00	
514	2C10	  102.00	  102.00	  102.00	
515	2C11	  153.00	  153.00	  153.00	
516	2C12	  204.00	  204.00	  204.00	
517	2C13	   72.00	    0.00	    0.00	
518	2C14	  182.00	    0.00	    0.00	
519	2C15	    0.00	   72.00	    0.00	
520	2C16	    0.00	  182.00	    0.00	
521	2C17	    0.00	    0.00	   72.00	
522	2C18	    0.00	    0.00	  182.00	
END_DATA
